YRS,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN,ID,CITY,STATE
198401-202012,10.9,10.9,11.9,12.1,10.2,9.8,8.9,8.5,9.3,10.2,11.0,10.5,10.3,03947,KANSAS CITY,MO
198401-202012,10.0,10.1,10.5,10.5,9.0,8.2,7.6,7.2,7.4,8.6,9.5,9.6,9.0,13994,ST. LOUIS,MO
198401-202012,10.1,10.3,11.0,10.7,9.1,8.4,7.4,7.3,7.9,9.0,10.0,10.0,9.3,13995,SPRINGFIELD,MO
198401-202012,13.4,11.9,10.8,10.6,9.9,9.4,8.8,8.8,9.3,10.6,11.9,12.9,10.7,24033,BILLINGS,MT
198401-202012,9.5,9.5,11.1,12.1,12.0,11.0,10.4,10.7,10.5,10.5,9.7,9.4,10.5,94008,GLASGOW,MT
198401-202012,14.0,12.2,11.8,11.4,10.5,9.9,9.1,9.1,10.0,11.8,13.7,14.0,11.5,24143,GREAT FALLS,MT
198401-202012,10.1,9.3,9.8,10.5,10.1,9.6,8.5,8.4,8.6,9.3,9.9,10.0,9.5,94012,HAVRE,MT
198401-202012,5.7,6.4,7.4,8.3,8.0,7.9,7.1,6.5,6.4,6.6,6.3,5.6,6.9,24144,HELENA,MT
198401-202012,4.3,5.0,6.0,7.0,6.7,6.0,5.6,5.4,5.1,4.6,4.8,4.0,5.4,24146,KALISPELL,MT
198401-202012,4.0,4.9,5.8,6.7,6.5,6.5,6.3,5.8,5.1,4.5,4.4,4.0,5.4,24153,MISSOULA,MT
198401-202012,11.2,11.6,12.6,13.4,11.9,11.0,9.3,9.0,10.3,11.0,11.3,11.1,11.1,14935,GRAND ISLAND,NE
198401-202012,9.4,9.8,11.1,12.0,10.5,9.9,8.8,8.5,9.3,9.6,9.8,9.2,9.8,14939,LINCOLN,NE
198401-202012,11.0,11.2,12.0,12.4,11.1,10.1,8.9,8.8,9.9,10.5,10.8,10.7,10.6,14941,NORFOLK,NE
198401-202012,8.5,9.2,10.4,11.5,10.4,9.5,8.5,8.1,8.8,9.0,8.7,8.3,9.2,24023,NORTH PLATTE,NE
198401-202012,10.3,10.5,11.4,11.8,10.4,9.7,8.6,8.3,9.3,9.8,10.4,10.2,10.0,14942,OMAHA,NE
198401-202012,9.9,10.4,11.0,11.6,10.9,9.9,8.6,8.2,8.5,9.2,9.4,9.4,9.8,24028,SCOTTSBLUFF,NE
198401-202012,9.4,9.6,10.4,11.3,11.0,10.1,9.2,9.3,9.8,9.9,9.6,9.4,9.9,24032,VALENTINE,NE
198401-202012,4.8,5.5,6.3,6.9,6.6,6.5,6.1,5.7,5.3,4.9,5.0,4.8,5.7,24121,ELKO,NV
198401-202012,9.0,9.3,9.9,10.0,9.8,10.0,9.5,9.6,9.4,9.2,9.0,9.0,9.5,23154,ELY,NV
198401-202012,6.7,7.7,9.3,10.3,10.3,10.3,9.1,8.7,8.0,7.4,6.9,6.6,8.4,23169,LAS VEGAS,NV
198401-202012,4.6,5.8,7.5,8.2,8.1,7.8,7.2,6.6,5.6,4.9,5.1,4.9,6.4,23185,RENO,NV
198401-202012,7.0,7.9,8.3,8.5,8.3,8.4,7.8,7.4,7.1,6.7,7.0,7.0,7.6,24128,WINNEMUCCA,NV
198401-202012,6.6,7.1,7.4,7.1,6.3,5.6,5.1,4.6,4.8,5.4,5.9,6.3,6.0,14745,CONCORD,NH
198401-202008,46.8,45.4,41.0,35.5,30.5,28.7,26.0,25.7,29.3,36.2,40.4,44.3,35.8,14755,MT. WASHINGTON,NH
198401-202012,9.5,10.0,10.6,10.4,8.9,8.0,7.4,6.9,7.4,7.9,8.7,9.0,8.7,93730,ATLANTIC CITY,NJ
198401-202012,10.7,10.9,11.2,10.6,9.5,9.2,8.7,8.4,8.7,9.4,10.0,10.3,9.8,14734,NEWARK,NJ
198401-202012,7.3,8.3,9.0,10.1,9.8,9.2,8.2,7.6,7.6,7.6,7.3,6.9,8.2,23050,ALBUQUERQUE,NM
198401-202012,11.6,12.5,13.0,14.0,13.0,12.7,11.3,10.4,11.4,11.8,12.0,11.8,12.1,23051,CLAYTON,NM
198401-202012,7.4,8.7,9.6,10.4,9.9,9.8,8.5,7.6,7.9,7.7,7.6,7.2,8.5,23009,ROSWELL,NM
198401-202012,8.7,9.0,9.6,9.2,7.8,7.2,6.6,6.0,6.3,7.1,8.2,8.4,7.9,14735,ALBANY,NY
198401-202012,9.8,9.9,10.0,9.7,8.6,8.0,7.2,7.0,7.6,8.6,9.3,9.5,8.8,04725,BINGHAMTON,NY
198401-202012,12.4,11.8,11.1,10.8,10.0,9.3,8.9,8.3,8.5,9.7,11.0,11.5,10.3,14733,BUFFALO,NY
198401-202012,10.0,10.2,10.7,10.2,8.9,8.4,7.8,7.5,7.9,8.6,9.3,9.6,9.1,04781,ISLIP,NY
198401-202012,7.6,7.6,7.7,6.9,5.7,5.1,4.7,4.4,4.9,5.6,6.2,7.0,6.1,94728,NEW YORK Central Par,
198401-202012,12.6,12.6,12.9,12.1,10.5,10.2,9.8,9.4,9.8,10.7,11.7,12.3,11.2,94789,NEW YORK JFK AP,NY
