CityName,StateAbbreviation,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03
SILVER SPRING,MD,372900.0,377100,378700,378900,377300,383200,387400,392600,392900,389100,387000,386800,381900,378700,380000.0,391400.0,401300.0,403000.0,401000.0,397100.0,396000.0,407100.0,401600.0,406500.0,398800.0,409300.0
TOLEDO,OH,67400.0,67100,68100,70400,72000,71100,70400,67000,67400,67800,70200,71400,74100,77700,73100.0,74800.0,75500.0,78300.0,73000.0,71100.0,76700.0,84100.0,87000.0,82300.0,82400.0,
SAINT PAUL,MN,207900.0,210900,212800,207000,202600,204500,203600,205700,204600,205700,207800,209100,212200,219500,216500.0,218900.0,213200.0,217100.0,213700.0,212400.0,213000.0,216200.0,225000.0,229300.0,233900.0,235700.0
NAPLES,FL,302000.0,318000,322400,318800,311500,315800,317500,318600,316400,317000,318300,310700,309000,310500,313000.0,319500.0,319700.0,323100.0,320600.0,322800.0,321800.0,323100.0,323800.0,323100.0,328600.0,335300.0
DURHAM,NC,210400.0,217200,217500,215300,211100,210800,214900,219200,223100,222900,221600,217200,227000,226600,232700.0,225300.0,228400.0,226700.0,228300.0,234100.0,235500.0,238700.0,241500.0,245800.0,253800.0,
TALLAHASSEE,FL,178200.0,174400,172100,169200,173900,171900,174000,170100,180000,178400,180800,177400,180500,183400,183300.0,184500.0,181900.0,184900.0,182400.0,183000.0,184400.0,186800.0,193000.0,188300.0,192000.0,200400.0
STOCKTON,CA,273400.0,279100,279200,278400,274100,278700,282100,284800,283500,282500,282100,281300,277100,277100,282400.0,293600.0,303800.0,306500.0,305800.0,304900.0,307900.0,310000.0,313100.0,312300.0,312000.0,
PLANO,TX,324000.0,337500,336800,337400,330100,329200,327000,328600,331900,332100,326900,322200,322900,327800,329800.0,331100.0,329800.0,330400.0,336300.0,336800.0,343100.0,339800.0,344400.0,349800.0,351000.0,
NEWARK,NJ,194400.0,185500,187800,194300,194800,203400,221200,217800,210600,197400,213200,222400,235900,237800,233500.0,222600.0,237700.0,253800.0,267400.0,260000.0,251700.0,243200.0,239500.0,244100.0,260100.0,
HENDERSON,NV,294300.0,299200,303800,306100,307100,306600,306600,306200,309400,310100,310000,311100,318800,323300,324400.0,319600.0,322200.0,319000.0,320300.0,321900.0,328100.0,330000.0,329300.0,328600.0,332300.0,338800.0
LINCOLN,NE,169400.0,171400,176600,171700,177600,175300,176200,171300,170200,176100,179100,182900,178900,180600,182300.0,185700.0,186300.0,183900.0,180200.0,179400.0,183200.0,188600.0,189400.0,190300.0,187000.0,189500.0
MODESTO,CA,280900.0,283300,283500,282900,282200,283900,284800,287400,283900,283900,282500,285800,288800,289900,293500.0,292700.0,295300.0,295300.0,296500.0,300100.0,300200.0,303100.0,303600.0,309200.0,311700.0,
RENO,NV,346600.0,352800,358000,354600,355100,348700,349500,353800,355800,356700,353400,349100,381100,376100,379700.0,352200.0,362100.0,371500.0,370100.0,368500.0,370900.0,373700.0,382400.0,388700.0,394500.0,
SPOKANE,WA,190400.0,192400,193100,193100,194300,193500,196500,195700,198300,201700,204700,218700,218200,225000,214800.0,220600.0,219000.0,225900.0,225200.0,227600.0,228400.0,232700.0,239200.0,250600.0,253400.0,260800.0
CHANDLER,AZ,265100.0,271700,270000,270600,271700,271900,273500,273000,277600,280000,281100,280700,277400,277200,279200.0,282100.0,286300.0,286800.0,290200.0,288800.0,291800.0,302500.0,309900.0,321000.0,321600.0,
JERSEY CITY,NJ,429700.0,438500,425500,431200,412000,421300,429100,444600,431100,417700,415800,429500,454900,472600,459900.0,448400.0,445700.0,464700.0,455600.0,449600.0,447300.0,469500.0,479700.0,498200.0,517400.0,583600.0
MOBILE,AL,150400.0,154500,150500,143400,136000,126000,121500,126800,126500,130800,129700,133100,128000,127100,127000.0,131400.0,132000.0,132300.0,133600.0,134700.0,134800.0,136600.0,137500.0,137400.0,137400.0,144500.0
HIALEAH,FL,249800.0,255500,259700,259900,253400,253400,249200,252900,256800,262600,264900,256400,242700,245700,249200.0,260700.0,257100.0,252600.0,258700.0,260200.0,271800.0,273300.0,278900.0,281700.0,289200.0,
SAN BERNARDINO,CA,270800.0,269700,272300,267700,274900,274200,280900,276000,276000,274700,281900,282700,280700,280400,282300.0,287800.0,286600.0,290600.0,290300.0,294400.0,294400.0,298100.0,300600.0,304500.0,311800.0,
CHULA VISTA,CA,515200.0,514700,505900,495500,501600,502900,504800,501800,495100,501000,503100,516800,517500,512600,506800.0,503300.0,524000.0,521200.0,519800.0,506900.0,514900.0,524900.0,522400.0,519600.0,511900.0,
SAINT PETERSBURG,FL,185900.0,192500,193300,193900,190400,192800,192700,196900,198600,201200,200500,200300,208900,211100,215900.0,207900.0,210400.0,206500.0,208700.0,212400.0,216700.0,218700.0,221300.0,225100.0,230500.0,
PENSACOLA,FL,137600.0,139300,141400,142900,143500,143500,144400,144100,140100,140300,144600,154000,160600,157200,155000.0,147700.0,150600.0,151700.0,154700.0,157100.0,153300.0,161900.0,168200.0,174500.0,172800.0,170600.0
LAWRENCEVILLE,GA,197800.0,201000,202400,204900,206300,207400,206800,209500,208600,212300,209500,216000,215900,220700,218000.0,217700.0,217800.0,218000.0,222300.0,224700.0,228100.0,228800.0,228700.0,232300.0,236500.0,
MADISON,WI,239200.0,244500,240800,242200,243900,249700,249000,247000,244100,245400,244300,247000,249000,248000,252100.0,256100.0,265500.0,266200.0,262100.0,259100.0,262800.0,271900.0,275000.0,283700.0,281900.0,286200.0
WINSTON-SALEM,NC,130800.0,136500,136900,138800,134100,133500,136200,137600,140500,143300,146800,148300,142900,146300,144200.0,146200.0,145100.0,149200.0,150100.0,149900.0,148400.0,155600.0,156200.0,160300.0,158900.0,
NORFOLK,VA,186700.0,188700,187000,187700,187900,185000,183500,184200,184300,185500,188000,192500,193900,197300,198600.0,200000.0,193100.0,194400.0,193900.0,200400.0,200200.0,201200.0,202200.0,211400.0,222100.0,230700.0
GLENDALE,AZ,203700.0,209200,206900,208800,207900,212100,212100,211500,217700,215000,216900,213800,223100,225600,223200.0,223900.0,227000.0,232800.0,235900.0,236100.0,236100.0,238000.0,240100.0,245900.0,252900.0,
SCOTTSDALE,AZ,339600.0,337700,338800,331800,333500,335300,362600,357800,362100,353000,363200,370500,360400,359200,351300.0,361000.0,369600.0,379000.0,390400.0,395000.0,403600.0,384100.0,389600.0,391000.0,423700.0,
FAYETTEVILLE,NC,110100.0,109100,106700,109200,109500,105900,104700,109000,112400,108100,105400,108700,113100,114900,110400.0,115900.0,116000.0,118600.0,114000.0,113500.0,119500.0,121400.0,130400.0,128500.0,128000.0,
BOISE,ID,257800.0,271900,273500,267400,261400,266100,272800,275900,278100,279900,277200,279000,282100,290300,293500.0,296900.0,302500.0,308500.0,308000.0,306800.0,305600.0,310500.0,313400.0,324400.0,337300.0,
IRVINE,CA,785000.0,782600,782700,798500,811800,821700,820600,828000,830000,830600,821600,830800,850500,893400,923100.0,899200.0,862400.0,831400.0,850800.0,851900.0,868400.0,877600.0,869900.0,838900.0,829200.0,849700.0
SARASOTA,FL,246500.0,247200,249500,248200,247200,244900,248700,253400,248100,247300,247800,254000,254000,251400,253600.0,257100.0,259000.0,260000.0,256700.0,263500.0,259200.0,263400.0,265200.0,274900.0,279000.0,
CHESAPEAKE,VA,247300.0,248000,239400,238900,239900,244700,242600,242400,241000,245200,245300,246800,252700,255500,260300.0,259900.0,262500.0,258600.0,257700.0,253800.0,258900.0,256400.0,258900.0,252900.0,254400.0,
FORT MYERS,FL,193500.0,195500,197300,197600,199900,200900,200100,201300,204100,204800,202000,198800,200300,200100,203300.0,205700.0,208800.0,207200.0,209400.0,207200.0,212400.0,208800.0,216500.0,220400.0,225300.0,
GARLAND,TX,197700.0,196200,194700,191300,193100,193100,191100,191100,192300,196200,200000,202500,204300,205500,206000.0,204800.0,201500.0,202300.0,202800.0,203800.0,201600.0,202900.0,203500.0,206900.0,207700.0,
SPRING,TX,190500.0,194700,195400,199800,202100,202300,200300,199800,201500,200400,202800,206000,210400,212000,208700.0,208300.0,210200.0,212500.0,213600.0,211400.0,216100.0,220600.0,222100.0,221900.0,222100.0,
GILBERT,AZ,285500.0,291500,292200,289100,290800,296600,299200,299800,301100,305100,307000,308800,312100,311200,306600.0,304600.0,309100.0,316600.0,318400.0,319400.0,324700.0,330200.0,336200.0,338400.0,346700.0,
NORTH LAS VEGAS,NV,233900.0,236200,238800,242100,246500,249100,251900,253200,255400,256100,259900,261500,261200,257000,257300.0,259000.0,261500.0,260000.0,258200.0,259100.0,260500.0,266100.0,268500.0,272600.0,273400.0,275800.0
FREMONT,CA,1036100.0,1058000,1082600,1098700,1111900,1094600,1089200,1084200,1093800,1097200,1061800,1040300,1027400,1019900,1011900.0,976400.0,981000.0,969400.0,985900.0,977600.0,1006300.0,996000.0,998300.0,976200.0,1070100.0,
SANTA CLARITA,CA,527100.0,528900,515800,514600,522800,522300,527200,526400,531400,530700,531600,537800,541200,537700,536700.0,537700.0,542500.0,551500.0,556200.0,566400.0,562200.0,570800.0,579300.0,589300.0,584000.0,
FONTANA,CA,382100.0,385300,384600,393400,396600,400900,399900,399500,397300,392900,389400,393000,394600,397900,394600.0,400200.0,405700.0,412400.0,421000.0,415700.0,422700.0,417300.0,428300.0,435100.0,437400.0,
IRVING,TX,244400.0,253600,255200,250500,245900,233600,229800,226200,242400,250900,254100,257800,252100,249900,258600.0,259600.0,275200.0,257400.0,262300.0,248100.0,253500.0,254300.0,258500.0,267600.0,262800.0,
ARLINGTON,VA,569400.0,592200,590900,569800,549900,562600,575100,582200,572000,571900,564800,599400,600100,625400,631900.0,642400.0,620400.0,599200.0,605300.0,642100.0,649200.0,615700.0,608200.0,608800.0,657500.0,696900.0
SPRINGFIELD,MO,140800.0,138600,136300,136800,135600,134200,131200,132500,134400,137600,137300,135500,136700,137500,143600.0,143000.0,142700.0,139700.0,141200.0,142700.0,143700.0,145200.0,146400.0,149100.0,150100.0,151300.0
GREENVILLE,SC,178800.0,183300,183600,181200,177100,175100,177200,179400,176600,177800,175600,193900,191200,196500,190600.0,193100.0,192700.0,189700.0,201400.0,204600.0,210400.0,200500.0,213500.0,216500.0,218100.0,
SANTA ROSA,CA,582700.0,594000,603800,599300,584800,571600,567800,567600,577300,570800,560000,550200,561700,562700,561200.0,552400.0,550600.0,554100.0,568500.0,576700.0,584500.0,586200.0,586200.0,578300.0,563100.0,
OXNARD,CA,486900.0,488600,483500,494300,501000,498200,499800,500300,503600,496400,500100,504300,509400,513200,512000.0,518400.0,503500.0,507700.0,516800.0,521300.0,517900.0,505800.0,527500.0,548800.0,556900.0,544500.0
RICHMOND,VA,208600.0,197500,196700,211500,214000,216400,212900,205800,203100,205000,211300,209400,207500,212500,223400.0,222900.0,224500.0,210100.0,212400.0,218700.0,235900.0,,,,,
